Problem Name, Dimensions, Solution Cost, Run Time (Milliseconds)
br17.atsp, 17, 87, 0.0
ft53.atsp, 53, 9514, 2.475261688232422
ft70.atsp, 70, 43186, 4.471302032470703
ftv170.atsp, 171, 3923, 6.134510040283203
ftv33.atsp, 34, 1683, 0.0
ftv35.atsp, 36, 1791, 4.130840301513672
ftv38.atsp, 39, 1778, 0.0
ftv44.atsp, 45, 2014, 0.0
ftv47.atsp, 48, 2374, 0.0
ftv55.atsp, 56, 2012, 0.0
ftv64.atsp, 65, 2639, 0.0
ftv70.atsp, 71, 2571, 0.0
kro124p.atsp, 100, 47506, 5.161046981811523
p43.atsp, 43, inf, 0.0
rbg323.atsp, 323, inf, 17.109155654907227
rbg358.atsp, 358, 4400, 16.54958724975586
rbg403.atsp, 403, inf, 20.693302154541016
rbg443.atsp, 443, 6183, 42.40012168884277
ry48p.atsp, 48, 16757, 3.962278366088867
