Problem Name, Dimensions, Solution Cost, Run Time (Milliseconds)
a280.tsp, 280, 3213, 8.808135986328125
ali535.tsp, 535, 253127, 65.46282768249512
att48.tsp, 48, 12861, 0.0
att532.tsp, 532, 35516, 38.680076599121094
bayg29.tsp, Error Parsing
bays29.tsp, Error Parsing
berlin52.tsp, 52, 8962, 0.0
bier127.tsp, 127, 135713, 8.165121078491211
brazil58.tsp, 58, 30774, 0.0
brg180.tsp, 180, 69550, 3.9949417114257812
burma14.tsp, 14, 4048, 0.0
ch130.tsp, 130, 7314, 5.167961120605469
ch150.tsp, 150, 8266, 3.996610641479492
d1291.tsp, 1291, 60308, 232.91349411010742
d1655.tsp, 1655, 75330, 386.74139976501465
d198.tsp, 198, 19198, 11.579036712646484
d2103.tsp, 2103, 86742, 814.4221305847168
d493.tsp, 493, 43400, 44.64221000671387
d657.tsp, 657, 59979, 70.08838653564453
dantzig42.tsp, Error Parsing
dsj1000.tsp, 1000, 24631468, 143.73159408569336
eil101.tsp, 101, 796, 0.0
eil51.tsp, 51, 497, 0.0
eil76.tsp, 76, 662, 0.0
fl1400.tsp, 1400, 26863, 254.42123413085938
fl1577.tsp, 1577, 29178, 328.7208080291748
fl3795.tsp, 3795, 35960, 2064.6891593933105
fl417.tsp, 417, 14974, 48.1104850769043
fnl4461.tsp, 4461, 223855, 3525.013208389282
fri26.tsp, 26, inf, 0.0
gil262.tsp, 262, 3003, 12.01486587524414
gr120.tsp, Error Parsing
gr137.tsp, 137, 93912, 0.0
gr17.tsp, 17, 2187, 0.0
gr202.tsp, 202, 49336, 4.0264129638671875
gr21.tsp, 21, 3333, 0.0
gr229.tsp, 229, 162430, 7.085323333740234
gr24.tsp, 24, 1553, 0.0
gr431.tsp, 431, 210069, 19.9735164642334
gr48.tsp, 48, 6098, 0.0
gr666.tsp, 666, 366962, 61.53464317321777
gr96.tsp, 96, 70916, 4.1332244873046875
hk48.tsp, 48, 13181, 0.0
kroA100.tsp, 100, 27772, 0.0
kroA150.tsp, 150, 34064, 2.485990524291992
kroA200.tsp, 200, 35715, 4.022836685180664
kroB100.tsp, 100, 29136, 0.0
kroB150.tsp, 150, 32767, 5.156278610229492
kroB200.tsp, 200, 36509, 8.045196533203125
kroC100.tsp, 100, 26281, 0.0
kroD100.tsp, 100, 26906, 4.06193733215332
kroE100.tsp, 100, 27419, 5.36799430847168
lin105.tsp, 105, 20341, 5.299806594848633
lin318.tsp, 318, 53959, 24.457216262817383
linhp318.tsp, 318, 53959, 15.946388244628906
nrw1379.tsp, 1379, 69106, 243.58606338500977
p654.tsp, 654, 43394, 87.14938163757324
pa561.tsp, Error Parsing
pcb1173.tsp, 1173, 71010, 189.53633308410645
pcb3038.tsp, 3038, 172791, 1385.9093189239502
pcb442.tsp, 442, 61926, 27.299165725708008
pla7397.tsp, 7397, 28107289, 9105.951309204102
pr1002.tsp, 1002, 315346, 129.63533401489258
pr107.tsp, 107, 46657, 3.9949417114257812
pr124.tsp, 124, 69282, 0.0
pr136.tsp, 136, 120760, 3.9954185485839844
pr144.tsp, 144, 61633, 8.006572723388672
pr152.tsp, 152, 85640, 3.9942264556884766
pr226.tsp, 226, 94672, 5.114078521728516
pr2392.tsp, 2392, 460671, 715.613603591919
pr264.tsp, 264, 58015, 13.024330139160156
pr299.tsp, 299, 59833, 19.397497177124023
pr439.tsp, 439, 131211, 27.469873428344727
pr76.tsp, 76, 153442, 0.0
rat195.tsp, 195, 2661, 9.35053825378418
rat575.tsp, 575, 8431, 41.01419448852539
rat783.tsp, 783, 10867, 74.35083389282227
rat99.tsp, 99, 1530, 0.0
rd100.tsp, 100, 9895, 5.159139633178711
rd400.tsp, 400, 18981, 22.90177345275879
rl11849.tsp, 11849, 1118490, 52218.616008758545
rl1304.tsp, 1304, 339621, 400.7742404937744
rl1323.tsp, 1323, 331926, 441.61510467529297
rl1889.tsp, 1889, 388986, 923.4092235565186
rl5915.tsp, 5915, 707088, 9728.058099746704
rl5934.tsp, 5934, 679591, 13412.634372711182
si1032.tsp, 1032, 94571, 207.83686637878418
si175.tsp, 175, 22263, 8.82411003112793
si535.tsp, 535, 50144, 71.01178169250488
st70.tsp, 70, 797, 1.0004043579101562
swiss42.tsp, 42, 1630, 0.9968280792236328
ts225.tsp, 225, 152493, 13.911247253417969
tsp225.tsp, 225, 4990, 7.426738739013672
u1060.tsp, 1060, 285978, 239.40134048461914
u1432.tsp, 1432, 188751, 546.5569496154785
u159.tsp, 159, 54637, 10.231256484985352
u1817.tsp, 1817, 71660, 736.5388870239258
u2152.tsp, 2152, 78840, 928.3602237701416
u2319.tsp, 2319, 278721, 1774.9345302581787
u574.tsp, 574, 46924, 79.24747467041016
u724.tsp, 724, 54589, 133.56542587280273
ulysses16.tsp, 16, 9988, 0.9965896606445312
ulysses22.tsp, 22, 10586, 0.0
usa13509.tsp, Error Parsing
vm1084.tsp, 1084, 294692, 326.9040584564209
vm1748.tsp, 1748, 410349, 1119.3289756774902
