Problem Name, Dimensions, Solution Cost, Run Time (Milliseconds)
br17.atsp, 17, 104, 1.0194778442382812
ft53.atsp, 53, 13276, 0.9949207305908203
ft70.atsp, 70, 48917, 1.977682113647461
ftv170.atsp, 171, 5032, 9.951353073120117
ftv33.atsp, 34, 1712, 1.0225772857666016
ftv35.atsp, 36, 1826, 0.0
ftv38.atsp, 39, 2060, 0.9958744049072266
ftv44.atsp, 45, 2374, 1.001596450805664
ftv47.atsp, 48, 2437, 0.9870529174804688
ftv55.atsp, 56, 2447, 0.9996891021728516
ftv64.atsp, 65, 3147, 1.9979476928710938
ftv70.atsp, 71, 3107, 1.9898414611816406
kro124p.atsp, 100, 47814, 3.9887428283691406
p43.atsp, 43, 5791, 1.0025501251220703
rbg323.atsp, 323, 5033, 37.89710998535156
rbg358.atsp, 358, 5819, 47.872304916381836
rbg403.atsp, 403, 6865, 58.86721611022949
rbg443.atsp, 443, 7561, 73.76956939697266
ry48p.atsp, 48, 18345, 0.9756088256835938
