Problem Name, Dimensions, Solution Cost, Run Time (Milliseconds)
a280.tsp, 280, 3436, 26.9012451171875
ali535.tsp, 535, 278768, 111.70125007629395
att48.tsp, 48, 13926, 0.0
att532.tsp, 532, 37002, 103.7437915802002
bayg29.tsp, Error Parsing
bays29.tsp, Error Parsing
berlin52.tsp, 52, 10386, 0.9794235229492188
bier127.tsp, 127, 155437, 5.985260009765625
brazil58.tsp, 58, 30336, 0.9913444519042969
brg180.tsp, 180, 127796, 12.943744659423828
burma14.tsp, 14, 4003, 0.0
ch130.tsp, 130, 8224, 5.984067916870117
ch150.tsp, 150, 8949, 8.962869644165039
d1291.tsp, 1291, 74418, 636.310338973999
d1655.tsp, 1655, 82865, 1025.2842903137207
d198.tsp, 198, 19352, 13.960123062133789
d2103.tsp, 2103, 124260, 1872.0152378082275
d493.tsp, 493, 45048, 89.77365493774414
d657.tsp, 657, 65665, 252.92658805847168
dantzig42.tsp, Error Parsing
dsj1000.tsp, 1000, 25526517, 483.69407653808594
eil101.tsp, 101, 845, 2.9904842376708984
eil51.tsp, 51, 606, 0.9965896606445312
eil76.tsp, 76, 718, 2.992868423461914
fl1400.tsp, 1400, 28292, 760.9639167785645
fl1577.tsp, 1577, 29411, 1012.261152267456
fl3795.tsp, 3795, 39697, 5754.604339599609
fl417.tsp, 417, 15909, 62.849998474121094
fnl4461.tsp, 4461, 248612, 7920.180797576904
fri26.tsp, Error Parsing
gil262.tsp, 262, 3267, 25.934696197509766
gr120.tsp, Error Parsing
gr137.tsp, 137, 94463, 6.999731063842773
gr17.tsp, 17, 2352, 0.0
gr202.tsp, 202, 52615, 19.94609832763672
gr21.tsp, 21, 3738, 0.0
gr229.tsp, 229, 179335, 20.945310592651367
gr24.tsp, 24, 1641, 0.0
gr431.tsp, 431, 228526, 69.81158256530762
gr48.tsp, 48, 7187, 0.9975433349609375
gr666.tsp, 666, 405180, 169.58880424499512
gr96.tsp, 96, 75225, 2.99072265625
hk48.tsp, 48, 14905, 0.9999275207519531
kroA100.tsp, 100, 30472, 2.989053726196289
kroA150.tsp, 150, 38698, 7.984399795532227
kroA200.tsp, 200, 40152, 14.933347702026367
kroB100.tsp, 100, 28942, 5.982637405395508
kroB150.tsp, 150, 35226, 7.9708099365234375
kroB200.tsp, 200, 40531, 13.968706130981445
kroC100.tsp, 100, 27583, 4.012823104858398
kroD100.tsp, 100, 28553, 3.9687156677246094
kroE100.tsp, 100, 30918, 3.9920806884765625
lin105.tsp, 105, 21138, 3.9637088775634766
lin318.tsp, 318, 60883, 40.87233543395996
linhp318.tsp, 318, 60883, 43.88117790222168
nrw1379.tsp, 1379, 75915, 768.8252925872803
p654.tsp, 654, 49595, 169.54636573791504
pa561.tsp, Error Parsing
pcb1173.tsp, 1173, 81510, 533.0815315246582
pcb3038.tsp, 3038, 193591, 3701.122999191284
pcb442.tsp, 442, 71212, 74.80120658874512
pla7397.tsp, 7397, 33332564, 29546.09227180481
pr1002.tsp, 1002, 351168, 405.9135913848877
pr107.tsp, 107, 55936, 3.990650177001953
pr124.tsp, 124, 82744, 5.975961685180664
pr136.tsp, 136, 146957, 8.976459503173828
pr144.tsp, 144, 77688, 7.978677749633789
pr152.tsp, 152, 90225, 7.952690124511719
pr226.tsp, 226, 114682, 19.945859909057617
pr2392.tsp, 2392, 526126, 2328.887701034546
pr264.tsp, 264, 66384, 26.924610137939453
pr299.tsp, 299, 66034, 34.9116325378418
pr439.tsp, 439, 144081, 68.83978843688965
pr76.tsp, 76, 147646, 2.9909610748291016
rat195.tsp, 195, 3202, 13.962268829345703
rat575.tsp, 575, 9376, 125.16927719116211
rat783.tsp, 783, 11854, 233.69431495666504
rat99.tsp, 99, 1598, 2.9904842376708984
rd100.tsp, 100, 10416, 3.9641857147216797
rd400.tsp, 400, 20652, 60.84156036376953
rl11849.tsp, 11849, 1384790, 76464.24865722656
rl1304.tsp, 1304, 375905, 727.9703617095947
rl1323.tsp, 1323, 390378, 780.9169292449951
rl1889.tsp, 1889, 448177, 1515.0959491729736
rl5915.tsp, 5915, 850643, 14585.977554321289
rl5934.tsp, 5934, 845458, 13948.703527450562
si1032.tsp, 1032, 98249, 405.93862533569336
si175.tsp, 175, 22992, 10.965108871459961
si535.tsp, 535, 52034, 111.7250919342041
st70.tsp, 70, 864, 1.0025501251220703
swiss42.tsp, 42, 1699, 0.9953975677490234
ts225.tsp, 225, 188007, 17.954111099243164
tsp225.tsp, 225, 5301, 17.9595947265625
u1060.tsp, 1060, 301624, 430.8488368988037
u1432.tsp, 1432, 214099, 757.967472076416
u159.tsp, 159, 54046, 8.99958610534668
u1817.tsp, 1817, 82219, 1214.7705554962158
u2152.tsp, 2152, 93388, 1761.2686157226562
u2319.tsp, 2319, 319948, 2013.6148929595947
u574.tsp, 574, 50156, 124.6492862701416
u724.tsp, 724, 59237, 208.4202766418457
ulysses16.tsp, 16, 7788, 0.9715557098388672
ulysses22.tsp, 22, 8308, 0.0
usa13509.tsp, Error Parsing
vm1084.tsp, 1084, 348426, 474.7288227081299
vm1748.tsp, 1748, 482307, 1220.1716899871826
